AAB	ABELAG AVIATION
DVB	IJT-AVIATION
DVI	AERO DAVINCI INTERNATIONAL, S.A. DE C.V.
DVN	ADVENTIA
DVR	DIVI DIVI AIR INC.
DVY	LEGENDS AIRWAYS, LLC.
DVZ	AEROTAXI DVZ, S.A. DE C.V.
DWC	EMPIRE AVIATION SAN MARINO SRL
DWG	VALKYRIE AERO, LLC
DWI	ARAJET S.A.
DWR	DELAWARE SKYWAYS, LLC (NEW CASTLE, DE)
DWT	DARWIN AIRLINE SA
DWW	DAS PRIVATE JETS GMBH
DXE	DRONAMICS EUROPE AIRLINES LTD
DXH	EAST STAR AIRLINES CO., LTD
DXT	AIR MANAGEMENT GROUP,CJSC
DYA	DYNAMIC AIRWAYS, LLC (WINSTON-SALEM, NC)
DYM	DYNAMIC AIR, S.L.
DYN	AERODYNAMICS, INC. (WATERFORD, MI)
DZD	YAZD AIRWAYS
DZR	MIDWEST AVIATION (OMAHA, NE)
EAA	ELIT´AVIA INTERNATIONAL SM S.R.L.
EAB	EAGLE ATLANTIC AIRLINES LIMITED
EAC	EXECUTIVE AIR CHARTER (HONOLULU, HI)
EAD	EAA - ESCOLA DE AVIACAO AEROCONDOR, SA
EAE	KOREA PILOT SCHOOL
EAF	ELECTRA AIRWAYS
EAG	EMERALD AIRLINES (UK) LIMITED
EAI	EMERALD AIRLINES (IRELAND) LIMITED
EAJ	AIRENKA HAVA TASIMACILIGI A.S.
EAK	EURO-ASIA AIR
EAL	EASTERN AIRLINES, LLC (HIGH POINT, NC)
EAM	EMBASSY AIRLINES LIMITED
EAN	EXPRESS AIRWAYS NIGERIA LIMITED
EAO	ELITAVIA SAN MARINO SRL
EAP	AERO-PYRENEES
EAR	TRANSPORTE EJECUTIVO AEREO, S.A. DE C.V.
EAS	EXECUTIVE AEROSPACE (PTY) LTD
EAT	AIR TRANSPORT, LTD
EAU	ELITAVIA MALTA LTD
EAV	ELITAVIA D.O.O.
EAW	WALYA AIRWAYS
EAX	EUROPEAN AVIATION SCHOOL OF BARCELONA
EAY	EUROVIA AIR
EAZ	EASTERN AIR LIMITED
EBC	AERO EJECUTIVO DE BAJA CALIFORNIA, S.A. DE C.V.
EBE	MINEBEA AVIATION CO., LTD
EBG	EUROSENSE
EBJ	EUROPEAN BUSINESS JETS PLC
ECA	OHL AIR CHARTERFLUG
ECB	EUROPEAN COASTAL AIRLINES
ECC	ECLAIR
ECD	ECOTOUR
ECF	EUROCOPTER
ECG	AERO EJECUTIVOS R.C.G., S.A. DE C.V.
ECI	EASTERN CAROLINA AVIATION, INC. (RICHLANDS, NC)
ECJ	EAST COAST JETS, INC. (ALLENTOWN, PA)
ECL	AERONAUTICA CASTELLANA, S.L.
ECM	AEROLINEAS COMERCIALES, S.A. DE C.V.
ECN	EURO CONTINENTAL AIE, S.L.
ECO	LINEA AEREA ECO JET S.A.
ECQ	ECO AIR LIMITED
ECR	ENERGIA CREADORA, S.A. DE C.V.
ECT	EAST COAST AIRWAYS (PTY) LTD
ECW	ECO AIRWAYS S.A.
ECX	ECOMEX AIR CARGO, LDA.
ECY	EUROCELTIC AIRWAYS LIMITED
EDA	EXEC DIRECT AVIATION
EDC	AIR CHARTER SCOTLAND LTD
EDD	SERVICIOS AEREOS BIO PAPPEL, S.A. DE C.V.
EDG	WESTERN AIR CHARTER, INC DBA JET EDGE
EDL	POLIZEIHUBSCHRAUBERSTAFFEL BAYERN, MUENCHEN
EDO	EDACOM, D.O.O.
EDR	FLY ALWAYS
EDV	ENDEAVOR AIR
EDW	EDELWEISS AIR AG
EDY	APOLLO AIR SERVICES LTD.
EEF	ESTONIAN AIRFORCE
EEL	EAGLE EUROPEAN LTD
EEM	EJECUTIVO AEREO DE MEXICO, S.A. DE C.V.
EES	EAGLE EXPRESS
EEU	EUROFLY SERVICE S.P.A.
EEX	EXECUTIVE EXPRESS AVIATION, S.A. DE C.V.
EFA	EXPRESS FREIGHTERS AUSTRALIA
EFB	EMERALD JETS S.A.L.
EFC	EMIRATES FLIGHT TRAINING ACADEMY
EFD	EISELE FLUGDIENST GMBH, STUTTGART
EFE	E-FREIGHT INTERNATIONAL LTD
EFF	WESTAIR AVIATION LIMITED
EFG	ELIFRIULIA S.R.L.
EFL	EAGLE AIR LTD
EFS	EFAOS, AGENCIA DE VIAGENS E TURISMO, LDA
EFT	EXECUFLIGHT, INC. (FORT LAUDERDALE, FL)
EFW	BA EUROFLYER
EFX	EASY FLY EXPRESS LIMITED
EGA	AIR EAGLE
EGC	FIRST WING AIRCRAFT CHARTER AND MAINTENANCE (INDIANAPOLIS, IN)
EGE	EAGLE AIR INC
EGF	AMR AMERICAN EAGLE, INC. (DALLAS/FT. WORTH, TX)
EGL	CAPITAL AIR AMBULANCE LIMITED
EGM	ECUATOGUINEANA DE AIR ET MARITIME SERVICE – EGAMS
EGO	GAUTENG AIR CARGO CC
EGR	EAGLE AIR (S.L.) LIMITED
EGS	NATIONAL JETS, INC.
EGT	EGT JET LTD.
EGU	EAGLE AVIATION (U) LTD
EGV	ENRIQUE GLEISNER VIVANCO
EGW	EGO AIRWAYS S.P.A.
EGY	EGYPTIAN AIR FORCE
EHC	EUROPEAN HELICENTER
EHD	E H DARBY AVIATION (SHEFFIELD, AL)
EHN	EAST HORIZON AIRLINES
EHR	NORDURFLUG EHF
EIA	EVERGREEN INTERNATIONAL AIRLINES
EIC	EXPRESS INTERNATIONAL CARGO CORPORATION
EIN	AER LINGUS TEORANTA
EIS	E.I.S. AIRCRAFT GMBH, KIEL-HOLTENAU
EIX	STELLAER 212
EJA	NETJETS AVIATION, INC. (COLUMBUS, OH)
EJE	HEBEI TONGHE GENERAL AVIATION CO. ,LTD.
EJG	EXECUJET EUROPE GMBH, BERLIN
EJM	EXECUTIVE JET MANAGEMENT, INC. (CINCINNATI, OH)
EJO	EXECUJET MIDDLE EAST
EJP	AEROSERVICIOS EJECUTIVOS CORPORATIVOS, S.A. DE C.V.
EJS	EUROJET SERVIS S.R.O.
EJT	ECLIPSE AVIATION (ALBUQUERQUE, NM)
EJU	EASYJET EUROPE AIRLINE GMBH
EJV	COMPANIA EJECUTIVA, S.A. DE C.V.
EKA	EQUAFLIGHT SERVICE
EKC	EAST KANSAS CITY AVIATION, INC. (GRAIN VALLEY, MO)
EKJ	EQUAJET
EKO	ECO AIRLINES SIA
EKT	EUROPEAN SAO LTD.
ELB	ELLINAIR
ELC	SMALL PLANET AIRLINES
ELE	EUROAIRLINES, S.L.
ELF	FLY GR8
ELG	ELANGENI GMBH
ELH	BABCOCK MISSION CRITICAL SERVICES ITALIA SPA
ELI	ELIO JET A.S.
ELJ	ELITE JET S.R.O.
ELL	ESTONIAN AIR
ELM	CRELAM, S.A. DE C.V.
ELN	ELIN GROUP LIMITED
ELO	EUROLOT S.A.
ELT	ELLIOTT AVIATION, INC. (OMAHA, NE)
ELU	EGYPTIAN LEISURE AIRLINES
ELV	ELVETIA AVIATION S.A.P.I. DE C.V.
ELW	YELLOW WINGS AIR SERVICES LTD
ELX	ELAN EXPRESS (LAS VEGAS, NV)
ELY	EL AL - ISRAEL AIRLINES LTD.
ELZ	ELITE AIR
EMB	EMPRESA BRASILEIRA DE AERONAUTICA, S/A
EMC	247 AVIATION LIMITED
EMD	BALLARD AVIATION, INC. D/B/A EAGLEMED (WICHITA, KS)
EME	METRO EXPRESS, INC. D/B/A EASTERN METRO EXPRESS (ATLANTA, GA)
EMI	PREMIUM AIR SHUTTLE LTD
EMJ	FRIENDSHIP AIRWAYS (FORT LAUDERDALE, FL)
EML	EMA S.A., EMPRESA DE MELOS AEREOS
EMM	EMPEROR AVIATION
EMN	EXAMINER TRAINING AGENCY
EMO	SKYEMOTION
EMP	EMPIRE AIR SERVICE, INC. (ROCHESTER, NY)
EMR	ZEMMOUR AIRLINES
EMS	AERO SERVICIOS EMPRESARIALES, S.A. DE C.V.
EMT	EMETEBE
EMU	SKY SHUTTLE HELICOPTERS LIMITED
EMZ	ETHIOPIAN MOZAMBIQUE AIRLINES
ENA	ESPANA, DIRECCION GENERAL DE AVIACION CIVIL Y TELECOMUNICACIONES
ENC	ENDECOTS S.A.
END	ARRENDADORA Y TRANSPORTADORA AEREA, S.A. DE C.V.
ENE	ENERJET, S.A. DE C.V.
ENF	ENAV S.P.A.
ENG	THUNDERBIRD AIRWAYS INC. D/B/A ENG AVIATION
ENI	ENIMEX LTD
ENJ	ENERJET (1263343 ALBERTA INC.)
ENK	EXECUTIVE AIRLINK INC. (NEBO, NC)
ENL	SERVICIOS OPTIMOS DE AEROENLACE S.A. DE C.V.
ENS	ENTERGY SERVICES, INC. (NEW ORLEANS, LA)
ENT	ENTER AIR SP. Z.O.O.
ENV	VICTORIA AVIATION
ENW	AERONAVES DEL NOROESTE
ENX	ENEX AVIATION LTD
ENY	ENVOY AIR INC.
ENZ	JOTA AVIATION LTD
EOA	ELILOMBARDA S.R.L.
EOK	AERO K AIRLINES
EOL	AIRAILES
EOM	AERO ERMES, S.A. DE C.V.
EOP	EOLO PLUS, S.A. DE C.V.
EOS	ELIOSSOLA S.R.L.
EPA	DONGHAI AIRLINES CO., LTD.
EPB	DONGHAI BUSINESS AVIATION COMPANY LTD
EPC	EUROPILOT CENTER
EPE	AIR EAGLE (PVT) LTD.
EPI	EPIC FLIGHT ACADEMY/EPIC AVIATION
EPJ	TRABAJOS AEREOS ESPEJO S.L.
EPL	AERO TRANSPORTES EMPRESARIALES
EPR	EXPRESS AIRWAYS, D.O.O.
EPS	EPPS AIR SERVICE, INC. (ATLANTA, GA)
EPT	EMPRESA PUBLICA DE TRANSPORTE AEREO MILITAR
EPU	AERO ELITE ACAPULCO, S.A DE C.V
EQE	QE EUROPE LTD
EQL	AIR SAO TOME AND PRINCIPE
EQR	EQUATORIAL CONGO AIRLINES BRANDED ECAIR
EQT	FLIGHT ACADEMY BLACKPOOL
EQX	EQUINOXAIR S.A.S.
EQZ	EQUATAIR AIR SERVICES (Z) LIMITED
ERA	AEROTAXIS TUCAN, S.A. DE C.V.
ERD	AIR EMERALDS
ERE	ERIE AIRWAYS, INC. (ERIE, PA)
ERF	EROFEY LLC
ERG	AVIAENERGO
ERH	BRISTOW U.S., LLC
ERI	AERO SERVICIOS REGIOMONTANOS, S.A. DE C.V.
ERK	AEROSEC
ERL	AERO LAB, S.A. DE C.V.
ERM	AEROMAAN, S.A. DE C.V.
ERN	ERNEST S.P.A.
ERO	AEROECOM, C.A.
ERR	ERA AVIATION (ANCHORAGE, AK)
ERT	ERITREAN AIRLINES
ERU	EMBRY-RIDDLE AERONAUTICAL UNIVERSITY
ERX	EARTH AIRLINES SERVICES LIMITED
ERY	SKY QUEST
ESA	ESCAIR S.L
ESB	AEREOSABA, S.A. DE C.V.
ESC	EL SOL DE AMERICA C.A.
ESD	EASTINDO SERVICES
ESE	ENSENADA VUELOS ESPECIALES, S.A. DE C.V.
ESF	ESTAFETA CARGA AEREA S.A DE C.V
ESG	ESTONIAN AIR REGIONAL
ESJ	EASTERN SKY JETS
ESK	ELITESKY EXPRESS
ESL	RUSSIAN SKY AIRLINES
ESM	EXECUTIVE AIRCRAFT SERVICES S.A.L.
ESN	EURO SUN - GUL HAVACILIK ISLETMELERI SANAYI VE TICARET A.S.
ESQ	EUROP-STAR AIRCRAFT GMBH
ESR	EASTARJET
ESS	THAI EASTARJET
EST	REGIONAL JET OU
ESU	EMPRESA DE TRANSPORTE AEREOCARGO DEL SUR, S.A
ESW	ASG BUSINESS AVIATION LLC
ESX	EUROSKYLINK LTD
ESY	EASOFLYERS, S.L.
ESZ	AERONAUTICA LA ESPERANZA, S.A. DE C.V.
ETA	REYNOLDS JET (CINCINNATI, OH)
ETC	AFRICAN TRANSPORT TRADING AND INVESTMENT CO. (ATTICO)
ETD	ETIHAD AIRWAYS
ETE	SERVICIOS AEREOS ELITE, S.A. DE C.V.
ETH	ETHIOPIAN AIRLINES CORPORATION
ETI	H-BIRD AVIATION SERVICES AB
ETJ	EAST AIR
ETL	PATTERSON AVIATION COMPANY (SACRAMENTO, CA)
ETM	ETRAM AIR WING
ETN	CHIM-NIR AVIATION
ETO	AIR IVERIA
ETP	EMPIRE TEST PILOTS SCHOOL
ETR	ESTELAR LATINOAMERICA, C.A.
ETS	ELTSOVKA AIRLINES
ETV	EUROPEAN EXECUTIVE LTD
ETW	EAGLE TRANS ASIA AIRWAYS CORP.
ETZ	AEROTRANSPORTES ZODIAC, S.A. DE C.V.
EUK	AER LINGUS (UK) LIMITED
EUL	EUROLINK GMBH
EUP	PAN EUROPEENNE
EUR	EUROSKY AVIATION AS
EUS	EURUS AVIATION, S.A.P.I. DE C.V.
EUU	EUROAMERICAN AIR
EUW	EFS EUROPEAN FLIGHT SERVICE AB
EVA	EVA AIRWAYS CORPORATION
EVC	RCS SERVICES LLC
EVE	EVELOP AIRLINE, S.L.
EVJ	EVERJETS - AVIACAO EXECUTIVA, S.A.
EVK	EVERETT AVIATION
EVL	EVOLEM AVIATION
EVM	NATURAL ENVIRONMENT RESEARCH COUNCIL
EVN	EURAVIATION S.R.L.
EVP	EUROPE AIR
EVQ	EVERETT AVIATION LDA
EVR	AERONAUTICAL ACADEMY OF EUROPE - ACADEMIA AERONAUTICA DE EVORA, S.A.
EVX	ATR (AVION DE TRANSPORT REGIONAL)
EWA	EWEST AIR
EWE	EUROWINGS EUROPE
EWG	EUROWINGS GMBH
EWL	EUROWINGS EUROPE LTD.
EWR	EWA AIR
EWS	EAST WEST AIRLINES
EWU	EAST - WEST EXPRESS LLC
EWZ	EAST WING
EXA	IMP GROUP LTD.
EXB	BRAZILIAN ARMY AVIATION
EXC	EC CHARTER CA
EXD	EXECUJET AVIATION (PTY) LTD
EXE	EXECUTIVE FLIGHT, INC. (ARLINGTON, TX)
EXF	EXIMFLIGHT, S.A. DE C.V.
EXH	EXECUTIVE HELICOPTERS
EXJ	EXECUTIVE JET CHARTER LIMITED
EXK	EXECUTIVE AIRLINES, INC. D/B/A AMERICAN EAGLE (SAN JUAN, PR)
EXM	CAA FLIGHT EXAMINERS
EXN	EXIN
EXP	ISLAND EXPRESS AIR
EXS	JET2.COM LTD
EXT	NIGHT EXPRESS LUFTVERKEHRSGESELLSCHAFT MBH, FRANKFURT
EXU	EXECUTIVE AIRLINES, S.L.
EXV	FITS AVIATION (PVT) LTD
EXY	SA EXPRESS AIRWAYS
EXZ	EAST AFRICAN SAFARI AIR EXPRESS LIMITED
EYE	F.S. AIR SERVICE, INC. (ANCHORAGE, AK)
EYH	GLASYM S.A. DE C.V.
EYT	ETIHAD FLIGHT COLLEGE
EZA	EZNIS AIRWAYS LLC
EZB	FLUGSCHULE EICHENBERGER AG
EZD	ZEST AIRWAYS INCORPORATED
EZE	EASTERN AIRWAYS (UK) LIMITED
EZI	AEROJET TOMZA S.A. DE C.V.
EZJ	EZJET GT INC.
EZR	EZ AIR B.V.
EZS	EASY JET SWITZERLAND SA
EZT	EZY AIRLINES
EZX	EAGLEXPRESS AIR CHARTER SDN. BHD.
EZY	EASYJET UK LTD
EZZ	ETF AIRWAYS
FAB	BRADLEY AIR SERVICES D/B/A FIRST AIR
FAC	FUERZA AEREA COLOMBIANA
FAD	FLYADEAL
FAE	FUERZA AEREA ECUATORIANA
FAF	FORCE AERIENNE FRANCAISE
FAG	FUERZA AEREA ARGENTINA
FAH	FARNAIR HUNGARY LTD
FAI	FALCON AIR, INC. (FLINT, MI)
FAJ	FLY AMAN
FAK	FINANCIAL AIRXPRESS
FAL	FRIENDSHIP AIR ALASKA (FAIRBANKS, AK)
FAM	FUERZA AEREA MEXICANA
FAN	AF-AIR INTERNATIONAL
FAO	FALCON AIR EXPRESS (MIAMI, FL)
FAP	F AIR
FAR	AG-RAUM GMBH, WARNGAU
FAS	FLORIDA AIR CARGO (OPA LOCKA, FL)
FAT	AIR TAXI (AVIATION CONNECTIVITY AND INFRASTRUCTURE DEVELOPERS PVT. LTD.)
FAU	FALCON AIRLINE LIMITED
FAW	FALWELL AVIATION, INC. (LYNCHBURG, VA)
FAX	MIDWEST AIR FREIGHTERS (KANSAS CITY, KS)
FAY	FAYBAN AIR SERVICES
FAZ	FLINT AVIATION SERVICES, INC. (FLINT, MI)
FBA	FLY BAGHDAD
FBC	FLY BLUE CRANE
FBE	PAN AFRICAN AIRLINES LEASING COMPANY LTD
FBF	FINE AIRLINES, INC. (MIAMI, FL)
FBG	FLEET AIR BG
FBJ	BABY JET AIRLINES LIMITED
FBN	FLORIDA AIR TRANSPORT, INC. (OPA LOCKA,FL)
FBR	BADEN AIRCRAFT OPERATION GMBH, RHEINMUENSTER
FBS	FLYBOSNIA
FBU	FRENCH BEE
FBX	FLYING BUSINESS AVIATION
FBY	FLY BAI, S.L.
FBZ	FLYBONDI
FCA	FLY-COOP AIR SERVICE
FCB	COBALTAIR LIMITED
FCE	MAXAIR CHARTER, INC DBA FLIGHT CHOICE
FCH	FLY UNION
FCJ	AIRSPRINT US, INC. (SCOTTSDALE,AZ)
FCK	FCS, FLIGHT CALIBRATION SERVICES, BRAUNSCHWEIG
FCL	FLORIDA COASTAL AIRLINES, INC. (FORT PIERCE, FL)
FCM	NORDIC REGIONAL AIRLINES OY
FCO	AEROFRISCO
FCP	FLIGHT CORPORATION LTD
FCS	NEDGISTIC EXPRESS SERVICES & AVIATION
FCT	FLY CI LTD
FCX	FALCON EXPRESS CARGO AIRLINES
FDA	FUJI DREAM AIRLINES
FDB	FLYDUBAI
FDC	FLY DIAMOND COMPANY
FDJ	FREEDOM AIR LLC
FDK	FLYDAMAS
FDL	FARMINGDALE STATE UNIVERSITY (FARMINGDALE, NY)
FDM	FREEDOM AIRLINES, INC. (BINGHAMTON, NY)
FDN	DOLPHIN AIR
FDO	FRANCE DOUANES
FDR	FEDERAL AIR (PTY) LTD
FDS	AFRICAN MEDICAL AND RESEARCH FOUNDATION (AMREF)
FDT	FREEDOM AIRLINES EXPRESS LTD.
FDU	FLY DUSHANBE AIRLINES
FDX	FEDERAL EXPRESS CORPORATION
FDY	SUN AIR EXPRESS, LLC  (FT. LAUDERDALE, FL)
FDZ	FLIGHT DECK SUPPORT
FEA	FAR EASTERN AIR TRANSPORT CORPORATION
FEE	AEROSERVICIOS FARES C.A.
FEG	FLY EGYPT
FEI	EAGLE AIR ICELAND (FLUGFELAGID ERNIR)
FEM	FLYWELL AIRLINE
FEN	EUROCOPTER UK LTD
FEO	AEROFERINCO, S.A. DE C.V.
FES	AERO TAXIS Y SERVICIOS ALFE, S.A. DE C.V.
FET	OLD DOMINION FREIGHT LINES, INC. (THOMASVILLE,NC)
FEX	FLIGHTEXEC
FFA	FLY4 AIRLINES GREEN LIMITED
FFB	AFRICAIR SERVICE
FFC	FAIROAKS FLIGHT CENTRE
FFD	FEUERWEHREINSATZ
FFE	FFL FACHSCHULE FUER LUFT-FAHRZEUGFUEHRER GMBH, MUELHEIM
FFF	FREEDOM AIR SERVICES LTD
FFH	SHALOM AIR SERVICES
FFI	INFINIT AIR, S.L.
FFL	FOREFLIGHT, LLC
FFM	FLYFIREFLY SDN BHD
FFP	UNITED STATES DEPARTMENT OF TRANSPORTATION, FEDERAL AVIATION ADMINISTRATION, FLIGHT INSPECTION SERVICES (OKLAHOMA CITY, OK)
FFS	FLORIDA DEPT OF AGRICULTURE (TALLAHASSEE, FL)
FFT	FRONTIER AIRLINES, INC. (DENVER, CO)
FFU	GEC MARCONI AVIONICS LTD
FFV	FIVE FORTY AVIATION LTD
FFX	NORDESTE LINHAS AEREAS, S.A.
FFY	FLORIDA FLYERS FLIGHT ACADEMY, INC.
FGA	GEORGIAN AVIATION FEDERATION
FGB	AIR 65
FGC	DEPARTAMENTO DE AGRICULTURA DE LA GENERALITAT DE CATALUNA
FGD	CONAIR GROUP INC.D/B/A CONAIR
FGE	FLY GEORGIA LTD
FGG	FLYGLOBAL CHARTER SDN. BHD.
FGN	GENDARMERIE NATIONALE
FGO	FTL AIRLINES
FGP	FLYING-RESEARCH AEROGEOPHYSICAL CENTER LTD
FGR	TRANS-PACIFIC AIR CHARTER LLC
FGS	ELITELLINA S.R.L.
FGT	AERO FREIGHT, S.A. DE C.V.
FGW	PARATA AIR
FHE	HELLO AG
FHG	FLYING HOPE E.V.
FHL	FAST HELICOPTERS LIMITED
FHM	FREEBIRD AIRLINES EUROPE LIMITED
FHR	HOPER
FHS	PT SURYA MATARAM NUSANTARA
FHV	FLYVERHJEMMEVAERNET
FHY	FREE BIRD AIRLINES (HURKUS HAVAYOLU TASIMACILIK VE TICARET A.S.)
FIA	FLY ONE
FIB	ELTHURAYA AVIATION
FIC	AEROSAFIN, S.A. DE C.V.
FIE	FLYONE ARMENIA
FIF	OY AIR FINLAND LTD, FINLAND
FIH	FINNHEMS OY
FII	AFI FLIGHT INSPECTION GMBH, BRAUNSCHWEIG
FIK	JF AIR TRAFFIC, INC.
FIL	FLY LINE S.L.
FIN	FINNAIR OYJ
FIR	FIRST LINE AIR (SL) LIMITED
FIS	WINGGLIDER LIMITED GBR.ATO.0216
FIV	CITATIONSHARES, LLC (GREENWHICH CT)
FIX	FOX AVIATION
FIZ	LET'S FLY HELICOPTER&JET
FJA	FIJI AIRLINES LIMITED
FJB	FASTJET ZAMBIA LIMITED
FJC	FALCON JET CENTRE
FJE	FANJET EXPRESS
FJI	AIR PACIFIC LIMITED
FJL	FLY JINNAH
FJM	FLY JAMAICA AIRWAYS LIMITED
FJO	FLEXJET OPERATIONS MALTA LIMITED
FJR	SOLITAIRE AIR (FLY JORDAN)
FJS	FLORIDA JET SERVICE, INC. (FORT LAUDERDALE, FL)
FJT	FUTURE AIR CO., LTD.
FJW	FASTJET ZIMBABWE LIMITED
FKH	FLY KHIVA
FKI	FLM AVIATION MOHRDIECK GMBH & CO. KG, KIEL
FKL	V. KELNER PILATUS CENTER INC.
FKS	OMEGA AIR HOLDINGS, LLC D/B/A FOCUS AIR (FT. LAUDERDALE, FL)
FKZ	FLY KUMBA
FLA	FLITE
FLB	FLY ART
FLC	UNITED STATES DEPARTMENT OF TRANSPORTATION, FEDERAL AVIATION ADMINISTRATION, FLIGHT INSPECTION SERVICES (OKLAHOMA CITY, OK)
FLD	FLY SOLUTIONS LTD
FLE	FLAIR AIRLINES LTD
FLF	FRIENDSHIP AIRLINES LTD
FLG	BIG CHARTER PRIVATE LIMITED
FLH	SKY BUS, INC. (DENVER, CO)
FLI	ATLANTIC AIRWAYS, FAROE ISLANDS P/F
FLJ	FLEXJET OPERATIONS LTD
FLK	FLYLINK EXPRESS S.A.
FLL	FEDERAL AIRLINES
FLN	FLYNAMIBIA AVIATION
FLO	FLYCOM D.O.O.
FLP	FL140 PARACHUTISME BORDEAUX
FLR	FLEETAIR
FLS	FLYING FAST, S.A. DE C.V.
FLT	FLIGHTLINE
FLV	CIVAIR AIRWAYS (PTY) LTD T/A REDAIR
FLW	FLITEWATCH LIMITED
FLX	FLIGHT EXPRESS, INC. (ORLANDO, FL)
FLZ	FLIGHTLINK LIMITED
FMA	FUMIGACION AEREA ANDALUZA, S.A.
FMC	FLY MODE FLIGHT CENTRE LIMITED
FMF	EGYPTIAN AVIATION ACADEMY
FMG	FMG VERKEHRSFLIEGERSCHULE, BUEREN
FMI	FMI AIR
FMK	FLY MARA AIRLINES LIMITED
FML	SKY MALI
FMR	FLAMINGO AIR, INC. (CINCINNATI, OH)
FMS	HADISON AVIATION
FMX	FLYFAST, S.A. DE C.V.
FMY	AVIATION LEGERE DE L'ARMEE DE TERRE
FNA	NORLANDAIR
FNC	FINALAIR CONGO
FNF	FINNISH AIR FORCE HEADQUARTERS
FNG	FINNISH BORDER GUARD
FNK	IAS ITZEHOER AIRSERVICE GMBH
FNL	LAPIN TILAUSLENTO OY
FNO	ATLANTIC AIR SOLUTIONS SL
FNS	FINESSE EXECUTIVE LTD
FNT	FINLIGHT AIRLINE L.L.C.
FNV	TRANSAVIASERVICE
FNX	FENIX AIR CHARTER
FNY	FRANCE MARINE NATIONALE
FOA	FORTUNE AIR (PTY) LTD
FOC	OFFICE FEDERAL DE L'AVIATION CIVILE
FOE	FLY ONE AIRLINES
FOF	FLYFOFA AIRWAYS
FOH	FLY ORION AIRWAYS
FON	FLYINGTON FREIGHTS LIMITED
FOO	ANISEC GMBH
FOP	FOKKER AIRCRAFT SERVICES
FOR	FORMULA ONE MANAGEMENT LIMITED
FOT	AVIAT AVIACION Y TRABAJOS AEREOS, S.L.
FOX	FLYR
FOZ	STARS AIRWAYS
FPC	FLIGHT PRO INTERNATIONAL, LLC
FPE	FLY PLAY EUROPE LTD
FPF	FJR PRIVATE FLIGHT
FPG	TAG AVIATION S.A.
FPI	FLYPERSIA
FPK	AIR FALCON (PVT) LIMITED
FPL	AUSTRALIAN FEDERAL POLICE
FPO	ASL AIRLINES FRANCE
FPS	FLIGHTPASS LTD
FPY	FLY PLAY
FQA	QUIKJET CARGO AIRLINES PVT. LTD
FRA	FR AVIATION LTD
FRB	FLY RAK
FRC	FRANCONIA AIR SERVICE GMBH
FRD	FORD MOTOR COMPANY (DETROIT, MI)
FRE	BOEING TACTICAL (ST.LOUIS, MO)
FRF	FLEET AIR INTERNATIONAL LTD
FRG	FREIGHT RUNNERS EXPRESS, INC. (MILWAUKEE, WI)
FRH	ACE BELGIUM FREIGHTERS S.A.
FRI	FREEDOM AIR (PTY) LTD T/A NORTH EAST CHARTERS
FRJ	AFRIJET AIRLINES
FRK	AFRIKA AVIATION HANDLERS LIMITED
FRM	FEDERAL ARMORED SERVICE, INC. (WYOMING, MI)
FRN	FIRST NATION AIRWAYS (SS) LIMITED
FRO	FROST AIR APS
FRQ	AFRIQUE CHART'AIR
FRR	FRESH AIR LTD
FRS	COMFORT SERVICIOS AEREOS, S.A. DE C.V.
FRU	SECURITE CIVILE FRANCAISE
FRV	CARVER AERO, LLC DBA REVV AVIATION
FRW	FARWEST AIRLINES, INC. (CHANDLER, AZ)
FRX	FORT AERO
FSA	FOSTER AVIATION (NOME, AK)
FSB	FSB FLUGSERVICE & DEVELOPMENT GMBH, BERLIN-SCHOENEFELD
FSC	FOUR STAR AVIATION D/B/A FOUR STAR GARGO (ST. THOMAS, VI)
FSE	AFS ALPINE FLIGHTSERVICE GMBH
FSF	FLY7 FINLAND
FSH	FLY SMART LLC
FSJ	FREESKY AVIATION CO., LTD
FSK	AFRICA CHARTER AIRLINES CC
FSL	FLINTS AERO SERVICES LTD
FSO	SKY ONE S.R.O.
FSP	APERTURE AVIATION
FSQ	FLYSKY AIRLINES
FSR	FLIGHTSTAR CORPORATION, THE (SAVOY, IL)
FSS	CHEROKEE AIR LIMITED
FST	FLIGHT SUPPORT INC.
FSU	FLYSKY AIRLINES
FSW	FASO AIRWAYS SARL
FSX	FLAGSHIP EXPRESS SERVICES, INC. (YPSILANTI, MI)
FSY	PRIVATEAIR INC.
FTA	FRONTIER FLYING SERVICE, INC. (FAIRBANKS, AK)
FTC	FTC AVIATION
FTD	ANDREW BETTIS AVIATION, LLC DBA AB JETS
FTG	FLYING TECHNOLOGY AIRLINE LIMITED
FTH	MOUNTAIN AVIATION, INC. (BROOMFIELD, CO)
FTJ	FU TAI BUSINESS JETS CO. LTD
FTK	NORTH CAROLINA FOREST SERVICE
FTL	FLIGHTLINE
FTM	FLYTEAM AVIATION LTD
FTN	VICTORY AIR LLC
FTO	TROPIC OCEAN AIRWAYS LLC
FTP	KEYSTONE AERIAL SURVEYS, INC. (PHILADELPHIA, PA)
FTR	FINIST'AIR
FTS	F2S LTD
FTT	FLIGHT FAST TRACK
FTU	CHINA CIVIL AVIATION FLIGHT UNIVERSITY
FTX	FX TERRADYNAMICS SA DE CV
FTY	ABC BEDARFSFLUG GMBH
FTZ	FASTJET AIRLINES LTD
FUC	FUMICAR
